play_id,nflverse_game_id,down,ydstogo,yardline_100,goal_to_go,qtr,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,posteam,defteam,shotgun,no_huddle,qb_dropback,pass_length,pass_location,air_yards,receiver,yards_after_catch,yards_gained,epa,success,wpa,complete_pass,air_epa,possession_team,offense_formation,offense_personnel,route
2879,2020_01_ARI_SF,2.0,14,56,0,3,395,1295,1295,-3,3,3,ARI,SF,1,1,1,short,left,-1,D.Arnold,9,8,0.048027725,1,0.032271564,1,-1.017694199,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",SCREEN
2907,2020_01_ARI_SF,3.0,6,48,0,3,355,1255,1255,-3,3,3,ARI,SF,1,1,1,deep,left,20,D.Hopkins,,0,-1.690358198,0,-0.050791144,0,2.724294821266085,ARI,SHOTGUN,"1 RB, 0 TE, 4 WR",GO
3017,2020_01_ARI_SF,2.0,8,80,0,3,242,1142,1142,3,3,3,SF,ARI,0,0,1,short,left,-5,,,0,-0.760601148,0,-0.023472667,0,-1.505138256,SF,I_FORM,"2 RB, 1 TE, 2 WR",
3039,2020_01_ARI_SF,3.0,8,80,0,3,238,1138,1138,3,3,3,SF,ARI,1,0,1,short,middle,11,K.Bourne,5,16,2.588877046480775,1,0.067372978,1,2.174304388696328,SF,SHOTGUN,"1 RB, 1 TE, 3 WR",POST
3121,2020_01_ARI_SF,3.0,3,57,0,3,147,1047,1047,3,3,3,SF,ARI,1,0,1,short,right,0,T.Coleman,,0,-1.730224556,0,-0.041377902,0,-1.7293763,SF,EMPTY,"1 RB, 1 TE, 3 WR",CROSS
3161,2020_01_ARI_SF,1.0,10,94,0,3,134,1034,1034,-3,3,3,ARI,SF,1,0,1,short,left,-4,C.Edmonds,,0,-0.603080173,0,-0.022314548,0,-1.502477096,ARI,SHOTGUN,"2 RB, 0 TE, 3 WR",SCREEN
3258,2020_01_ARI_SF,2.0,8,87,0,3,73,973,973,-3,3,3,ARI,SF,1,1,1,short,left,7,D.Hopkins,0,7,0.6294993637129664,1,0.006255537,1,0.6294993637129664,ARI,EMPTY,"1 RB, 1 TE, 3 WR",OUT
3314,2020_01_ARI_SF,1.0,10,77,0,3,18,918,918,-3,3,3,ARI,SF,1,1,1,short,middle,13,D.Hopkins,5,18,1.2308537834323943,1,0.018948733806610107,1,0.9932280690409243,ARI,PISTOL,"1 RB, 1 TE, 3 WR",HITCH
3361,2020_01_ARI_SF,1.0,10,59,0,4,900,900,900,-3,3,3,ARI,SF,0,0,1,,,,,,-1,-0.780837307,0,-0.044962823,0,,ARI,SINGLEBACK,"1 RB, 2 TE, 2 WR",
3529,2020_01_ARI_SF,2.0,8,33,0,4,723,723,723,-3,3,3,ARI,SF,1,1,1,short,left,-2,D.Hopkins,9,7,0.520013717,1,0.05483067,1,-0.886454861,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",SCREEN
3599,2020_01_ARI_SF,2.0,8,22,0,4,635,635,635,-3,3,3,ARI,SF,1,1,1,,,,,,22,3.072246920550242,1,0.13313312456634252,0,,ARI,SHOTGUN,"1 RB, 2 TE, 2 WR",
3659,2020_01_ARI_SF,1.0,10,78,0,4,620,620,620,-4,3,3,SF,ARI,0,0,1,deep,right,18,K.Juszczyk,23,41,2.6888387370854616,1,0.11455252766609192,1,1.2491803616285324,SF,I_FORM,"2 RB, 1 TE, 2 WR",WHEEL
3683,2020_01_ARI_SF,1.0,10,37,0,4,586,586,586,-4,3,3,SF,ARI,1,1,1,short,right,2,K.Juszczyk,,0,-0.516302418,0,-0.023356944,0,-0.422202128,SF,SHOTGUN,"2 RB, 1 TE, 2 WR",OUT
3709,2020_01_ARI_SF,2.0,10,37,0,4,581,581,581,-4,3,3,SF,ARI,0,0,1,short,left,0,R.Mostert,,0,-0.820093722,0,-0.041962594,0,-0.784920755,SF,SINGLEBACK,"2 RB, 1 TE, 2 WR",FLAT
3799,2020_01_ARI_SF,2.0,5,5,1,4,527,527,527,-4,3,3,SF,ARI,1,0,1,short,right,5,K.Bourne,,0,-1.003418468,0,-0.024080753,0,1.7079273101990111,SF,SHOTGUN,"1 RB, 2 TE, 2 WR",HITCH
3838,2020_01_ARI_SF,3.0,5,5,1,4,522,522,522,-4,3,2,SF,ARI,1,0,1,short,left,1,J.McKinnon,4,5,2.7113457782543264,1,0.1221029336231857,1,-1.347526401,SF,SHOTGUN,"1 RB, 2 TE, 2 WR",FLAT
3898,2020_01_ARI_SF,1.0,10,75,0,4,518,518,518,-3,2,3,ARI,SF,0,0,1,deep,right,27,C.Kirk,,0,-0.50008975,0,-0.029862374,0,1.5325111786369234,ARI,I_FORM,"1 RB, 2 TE, 2 WR",CORNER
3920,2020_01_ARI_SF,2.0,10,75,0,4,511,511,511,-3,2,3,ARI,SF,1,0,1,short,left,5,D.Hopkins,6,11,1.1707579179201275,1,0.046037853,1,-0.28793687,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",HITCH
3969,2020_01_ARI_SF,1.0,10,54,0,4,468,468,468,-3,2,3,ARI,SF,1,1,1,,,,,,1,-0.468711199,0,-0.031639457,0,,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",
3990,2020_01_ARI_SF,2.0,9,53,0,4,442,442,442,-3,2,3,ARI,SF,1,1,1,,,,,,15,1.4917181076016277,1,0.11386570334434509,0,,ARI,PISTOL,"1 RB, 1 TE, 3 WR",
4011,2020_01_ARI_SF,1.0,10,38,0,4,402,402,402,-3,2,3,ARI,SF,1,1,1,short,right,-3,C.Kirk,3,0,-0.447918337,0,-0.023268133,1,-1.103984902,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",SCREEN
4035,2020_01_ARI_SF,2.0,10,38,0,4,360,360,360,-3,2,3,ARI,SF,1,1,1,short,right,3,C.Edmonds,1,4,-0.267358197,0,-0.020842671,1,-0.471813598,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",ANGLE
4063,2020_01_ARI_SF,3.0,6,34,0,4,327,327,327,-3,2,3,ARI,SF,1,1,1,short,right,7,D.Hopkins,26,33,3.8563634068414103,1,0.22767886519432068,1,1.3626744936336763,ARI,SHOTGUN,"1 RB, 1 TE, 3 WR",CROSS
4222,2020_01_ARI_SF,2.0,4,69,0,4,279,279,279,-4,3,2,SF,ARI,1,1,1,short,left,3,R.Mostert,2,5,0.3517733911285177,1,0.018180847,1,0.020232427,SF,SHOTGUN,"2 RB, 1 TE, 2 WR",OUT
4246,2020_01_ARI_SF,1.0,10,64,0,4,239,239,239,-4,3,2,SF,ARI,0,0,1,,,,,,9,0.4465198788093403,1,0.029964656,0,,SF,SINGLEBACK,"1 RB, 2 TE, 2 WR",
4292,2020_01_ARI_SF,1.0,10,48,0,4,172,172,172,-4,3,2,SF,ARI,0,0,1,short,left,6,T.Coleman,0,6,0.25770233827643096,1,0.008318782,1,0.25770233827643096,SF,SINGLEBACK,"1 RB, 2 TE, 2 WR",FLAT
4366,2020_01_ARI_SF,1.0,10,32,0,4,120,120,120,-4,3,2,SF,ARI,1,0,1,short,left,2,J.Reed,0,2,-0.418404706,0,-0.0207178,1,-0.418404706,SF,SHOTGUN,"1 RB, 2 TE, 2 WR",OUT
4394,2020_01_ARI_SF,2.0,8,30,0,4,103,103,103,-4,3,2,SF,ARI,1,1,1,short,left,5,R.Mostert,4,9,1.1716466585057788,1,0.14120152592658997,1,0.29797730513382703,SF,SHOTGUN,"1 RB, 2 TE, 2 WR",ANGLE
4406,2020_01_ARI_SF,1.0,10,21,0,4,81,81,81,-4,3,2,SF,ARI,1,0,1,deep,right,21,K.Bourne,,0,-0.423422041,0,-0.037670612,0,2.806170829,SF,SHOTGUN,"1 RB, 2 TE, 2 WR",GO
